"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","16,463","18.9"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 OR MORE HEAD)","1,807","1.5"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1,000 TO 2,499 HEAD)","1,231","1.6"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)","3,762","9.8"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 49 HEAD)","17,869","5.1"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (100 TO 199 HEAD)","7,359","2.8"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (2,500 OR MORE HEAD)","576","1.9"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)","14,107","4.0"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)","3,712","2.6"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)","15,351","2.8"
