"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1 TO 24 HEAD)","41,688","5.7"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 OR MORE HEAD)","10,401","8.3"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 TO 1,999 HEAD)","2,677","19.6"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (100 TO 199 HEAD)","1,469","4.8"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (2,000 TO 4,999 HEAD)","4,718","8.4"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (200 TO 499 HEAD)","2,115","7.1"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (25 TO 49 HEAD)","3,435","5.0"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (5,000 OR MORE HEAD)","3,006","5.7"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (50 TO 99 HEAD)","2,161","4.0"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (500 OR MORE HEAD)","12,378","9.1"
"CENSUS","2012","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (500 TO 999 HEAD)","1,977","14.1"
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1 TO 24 HEAD)","45,047",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 OR MORE HEAD)","12,219",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 TO 1,999 HEAD)","4,013",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (100 TO 199 HEAD)","2,590",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (2,000 TO 4,999 HEAD)","5,356",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (200 TO 499 HEAD)","4,524",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (25 TO 49 HEAD)","4,292",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (5,000 OR MORE HEAD)","2,850",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (50 TO 99 HEAD)","3,182",""
"CENSUS","2007","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (500 TO 999 HEAD)","3,588",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1 TO 24 HEAD)","38,303",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 OR MORE HEAD)","11,884",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 TO 1,999 HEAD)","5,148",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (100 TO 199 HEAD)","4,611",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (2,000 TO 4,999 HEAD)","4,530",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (200 TO 499 HEAD)","7,755",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (25 TO 49 HEAD)","5,650",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (5,000 OR MORE HEAD)","2,206",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (50 TO 99 HEAD)","4,682",""
"CENSUS","2002","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (500 TO 999 HEAD)","6,010",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1 TO 24 HEAD)","56,092",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 OR MORE HEAD)","12,771",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (1,000 TO 1,999 HEAD)","6,597",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (100 TO 199 HEAD)","10,364",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (2,000 TO 4,999 HEAD)","4,323",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (200 TO 499 HEAD)","16,539",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (25 TO 49 HEAD)","9,411",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (5,000 OR MORE HEAD)","1,851",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (50 TO 99 HEAD)","9,334",""
"CENSUS","1997","END OF DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOGS","HOGS - OPERATIONS WITH INVENTORY","INVENTORY OF HOGS","INVENTORY OF HOGS: (500 TO 999 HEAD)","10,378",""
